timestamp,action,entity_type,entity_id,details
2026-04-22 00:34:53,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 00:37:59,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 00:42:12,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 00:50:03,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 00:57:30,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 00:59:23,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 01:00:52,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 01:02:13,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 01:05:40,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 01:26:44,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 01:48:42,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 01:50:56,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 01:52:55,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 01:54:00,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 07:12:17,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 07:53:02,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 08:00:25,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 08:05:14,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 08:06:00,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 08:10:47,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 08:13:38,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 08:18:41,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 08:19:58,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 08:30:02,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 10:29:47,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 10:30:51,login,user,admin,role=Admin; full_name=Alex Morgan
2026-04-22 10:31:46,login,user,admin,role=Admin; full_name=Alex Morgan
